driverId,name,ssn,location,certified,wage-plan

10,Ms. Molly Oconnell,355-60-0028,"044 Katie Route
New Lindastad, TN 64027",Y,miles

11,Justin Williams,388-53-0985,"884 Margaret Neck
New Brendaberg, MH 65695",Y,hours

12,Miss Isabella Hall,031-65-6165,"2957 Mahoney Haven
New Kimberlytown, NC 43814",Y,miles

13,Steve Ramirez,260-19-6156,"824 Robles Throughway
Lake Michaelborough, PR 51919",N,miles

14,Andre Cervantes,632-67-3987,"5539 Kelly Parkway Apt. 431
Stevenberg, RI 98788",N,hours

15,Vanessa Torres,324-69-8173,"USNS Yang
FPO AE 04230",N,hours

16,Christina Ross,668-06-1147,"02433 Dylan Rue
Christopherberg, WV 44668",N,miles

17,Amber Hicks,165-03-4713,"4057 Megan Walks Apt. 879
Goldenmouth, KY 27490",N,miles

18,Andrew Fuller,536-60-4638,"6421 Morris Squares Apt. 980
Sharpland, NY 66931",Y,miles

19,Tracy Medina,244-16-4788,"25587 Thomas Ports
New Andrea, SC 47899",N,miles

20,Richard Pennington,854-34-3307,"886 Miller Circle
Arnoldtown, TX 25552",Y,miles

21,Joshua Roberts,898-09-0758,"78701 Taylor Mission
South Jesseton, WY 39918",Y,hours

22,Ryan Chung,162-01-1818,"671 Orozco Via Apt. 121
Wendyfort, MH 49790",N,miles

23,Erica Reynolds,444-61-0550,"PSC 6144, Box 9052
APO AE 52360",N,miles

24,Thomas Leon,208-81-8726,"0577 Briggs Terrace
East Robertberg, KS 91094",Y,miles

25,Kaylee Black,143-47-8401,"2110 Pacheco Villages
New Samantha, IN 06839",Y,miles

26,Ronald Davis,316-12-7690,"9292 David Fort Apt. 126
Lake Kyleburgh, VT 71910",Y,hours

27,David Schmidt,745-06-2235,"USNS Gross
FPO AA 97068",Y,miles

28,Victoria Brown,206-59-0449,"2067 Mary Village Apt. 129
Hollandfort, UT 98579",N,hours

29,Sandy Turner,756-12-4713,"Unit 9316 Box 4155
DPO AE 54390",Y,hours

30,Sean Taylor,134-85-5288,"259 Nguyen Brooks
Danielside, MP 46787",Y,hours

31,Michelle Rodriguez,614-26-6391,"0613 Cochran Dale
East Christinefurt, AK 44121",N,miles

32,Heidi Edwards,625-45-0048,"661 Ball Course Apt. 775
Robinside, WV 03474",Y,miles

33,Charles King,794-68-4033,"0401 Bruce Hollow
Erictown, FL 75314",N,hours

34,Taylor Sandoval,608-06-1767,"8119 Donovan Motorway
North Raymond, AZ 08687",N,hours

35,Andrew Rivera,157-42-7114,"138 Tracie Lodge Apt. 625
New Paulbury, WA 59162",Y,hours

